frame,sparc
15,-2.683585372979156
16,-2.6622722184731757
17,-2.6446909555592497
18,-2.632002816766604
19,-2.620368323110359
20,-2.6079132163290453
21,-2.59798265211061
22,-2.585088472368256
23,-2.5590612098154613
24,-2.514809678802112
25,-2.4542776712712633
26,-2.3868065568225925
27,-2.3270576825435616
28,-2.2904385593397123
29,-2.28770901534775
30,-2.3220442972343367
31,-2.3900240447585066
32,-2.4829067492084724
33,-2.5862014747580737
34,-2.6811823546107707
35,-2.7512058005652196
36,-2.7879886407076087
37,-2.7918335511975325
38,-2.767659686564424
39,-2.7215264213707036
40,-2.659432463807184
41,-2.5875280811465893
42,-2.511792304564589
43,-2.4361867611128014
44,-2.3612386593944104
45,-2.286529586502872
46,-2.2158959593722343
47,-2.1598831785947863
48,-2.133623412110409
49,-2.159759171740402
50,-2.263005266296634
51,-2.389084506499255
52,-2.5070653624967463
53,-2.606269552242471
54,-2.6865340931062174
55,-2.7426319061886497
56,-2.770391979459991
57,-2.780117320897869
58,-2.7813851287013893
59,-2.777506608625035
60,-2.7670244598660836
61,-2.7460897038577854
62,-2.7104702975152835
63,-2.6583001299792857
64,-2.5923426997323173
65,-2.519515297661611
66,-2.4479820690607332
67,-2.385535581085021
68,-2.342332214792001
69,-2.333678803308529
70,-2.3688957140814884
71,-2.4380978113718226
72,-2.5148203152412867
73,-2.5609118870565353
74,-2.5733986453296636
75,-2.6332098195247435
76,-2.716492048789151
77,-2.6865353068503697
78,-2.6953043721053915
79,-2.6897189941045743
80,-2.6344669660963866
81,-2.543190313021191
82,-2.5391383335716085
83,-2.601514942873693
84,-2.6584160008199436
85,-2.7029353396359186
86,-2.735399559339702
87,-2.7593190124565523
88,-2.7789914898898336
89,-2.796438356310167
90,-2.8089418698687134
91,-2.81125261298356
92,-2.7990464963304786
93,-2.771594400605053
94,-2.732292816170636
95,-2.686897886574902
96,-2.640832065716877
97,-2.5969701470817266
98,-2.554310890040437
99,-2.5075966714860356
100,-2.453493269316994
101,-2.419375331449081
102,-2.4825404294904247
103,-2.637156109532775
104,-2.723885600999712
105,-2.7522646384308884
106,-2.7606585821133143
107,-2.75777279544319
108,-2.7411373600426754
109,-2.7079460559907433
110,-2.6636005210002343
111,-2.6325656345358537
112,-2.7335025247793423
113,-2.96608842573635
114,-3.1198158702650463
115,-3.1292129852322783
116,-2.999341233853219
117,-2.8032222926244232
118,-2.7136943484118072
119,-2.6720407685908785
120,-2.641500919721397
121,-2.620677980252465
122,-2.6075007768498444
123,-2.603020955061895
124,-2.6074252706144407
125,-2.589534481573578
126,-2.5770229796166753
127,-2.5464429564315254
128,-2.483789131499769
129,-2.37301861248128
130,-2.281884510236366
131,-2.4340495585329758
132,-2.4010906191906423
133,-2.1135154454446283
134,-1.9839456704070288
135,-2.3230062801462914
136,-2.5596687778466474
137,-2.684062247679881
138,-2.739337485154205
139,-2.759709600680242
140,-2.7659028367567036
141,-2.767025984589309
142,-2.7648946432235104
143,-2.7603949520184448
144,-2.741728064679429
145,-2.664144406202101
146,-2.4800117144900486
147,-2.2700484955104345
148,-2.2758182550883745
149,-2.293660703528423
150,-2.3015843066219346
151,-2.308581261221595
152,-2.3201062925160656
153,-2.3590113132398227
154,-2.452553600469902
155,-2.557350201930748
156,-2.6489412485408863
157,-2.7198710196083304
158,-2.766456258614675
159,-2.787195904498228
160,-2.7830675355794576
161,-2.7573043304200464
162,-2.714331882201104
163,-2.6586196176317896
164,-2.594315640446435
165,-2.5258843612322277
166,-2.459324297918659
167,-2.402909770038267
168,-2.366393385967004
169,-2.358938639033932
170,-2.387040373477733
171,-2.452434693537149
172,-2.5473589878183414
173,-2.6474961982462633
174,-2.731105786448441
175,-2.7886657996838524
176,-2.8227081466351507
177,-2.8312617560170588
178,-2.805159838791203
179,-2.7528526031106884
180,-2.697836926925489
181,-2.6597291614929466
182,-2.6394173867116537
183,-2.6286529030038586
184,-2.6210204915575797
185,-2.6131772666481945
186,-2.602650851298116
187,-2.584936585129892
188,-2.551252920347575
189,-2.4936544889734003
190,-2.4159905147671834
191,-2.3328997882620137
192,-2.2577099368352047
193,-2.200099191004486
194,-2.1698735649679533
195,-2.1772934076107204
196,-2.228891809826258
197,-2.320686075653366
198,-2.436141404467677
199,-2.554233572142987
200,-2.6586768949331856
201,-2.738703589416889
202,-2.7870201334886624
203,-2.8007455251450666
204,-2.7821853799053686
205,-2.737948915463955
206,-2.6776525357521783
207,-2.6123174539515164
208,-2.5523488163809223
209,-2.5053515244561053
210,-2.471879510234399
211,-2.4456902762089956
212,-2.478461003550525
213,-2.6779688527458476
214,-2.771729782542721
215,-2.690748341800019
216,-2.656222757157406
217,-2.6812641111309112
218,-2.7077201565195157
219,-2.7329441709809963
220,-2.754286079435832
221,-2.769327252208681
222,-2.776740385776828
223,-2.775644473125389
224,-2.7647653994441903
225,-2.7421683229723004
226,-2.705575483165881
227,-2.6526111260336234
228,-2.5805541495576123
229,-2.485511733084141
230,-2.3613054587703974
231,-2.2479797265122676
232,-2.384370981627058
233,-2.3092789686189192
234,-2.6563907105632074
235,-2.8486981812558905
236,-2.84589573161948
237,-2.329115975473459
238,-1.8167804984290772
239,-2.040373527420345
240,-2.3311120102078986
241,-2.4595785009576154
242,-2.5349880114270134
243,-2.5982573074754525
244,-2.653969555311845
245,-2.7007055288804014
246,-2.7366898539736457
247,-2.7580198341672673
248,-2.75977782157375
249,-2.7399114508477873
250,-2.7023839928403652
251,-2.6560963663737485
252,-2.610718443454952
253,-2.574299190910844
254,-2.5785479770501496
255,-2.6021491469737814
256,-2.681761153598261
257,-2.7459358003780756
258,-2.770753330849385
259,-2.7566999673489363
260,-2.771916017910053
261,-2.729942967840441
262,-2.5876393133124314
263,-2.402400493243007
264,-2.271357015348621
265,-2.2440372147505636
266,-2.3155454831279676
267,-2.4091255684632404
268,-2.5042866836656796
269,-2.5858430427905907
270,-2.652853911420565
271,-2.7053462078532786
272,-2.7401086571327604
273,-2.749874175663213
274,-2.726005081916613
275,-2.668534617773879
276,-2.592533777002227
277,-2.518729077535814
278,-2.463818594337196
279,-2.4365353749492504
280,-2.4386195533423156
281,-2.4679424538334827
282,-2.52041720536298
283,-2.590186801803945
284,-2.6688010227024206
285,-2.743822631738512
286,-2.797992003088385
287,-2.8150764918659568
288,-2.794447981872442
289,-2.74634335509471
290,-2.6791183240003806
291,-2.5986680323613562
292,-2.509515514760425
293,-2.416281839199478
294,-2.328907456815861
295,-2.2797390624522067
296,-2.287637270739738
297,-2.3134428944506484
298,-2.3303916322063896
299,-2.329983261367009
300,-2.342523116657488
301,-2.466826641696455
302,-2.362353659966373
303,-2.5754791452575567
304,-2.62647358974727
305,-2.6410881540208613
306,-2.772036652978055
307,-2.8753019975116523
308,-2.0305795512191462
309,-1.8120110174038069
310,-1.971492520271644
311,-2.2299767039448066
312,-2.4298228762549328
313,-2.574161240482848
314,-2.6697093393741014
315,-2.7232242751868605
316,-2.742329567154936
317,-2.7357724072023544
318,-2.712141770341992
319,-2.676199009191963
320,-2.6282841635623537
321,-2.571566808605435
322,-2.514263819303477
323,-2.46712777302908
324,-2.4392569233004515
325,-2.4361996201194693
326,-2.460158833751856
327,-2.5101887011345907
328,-2.581474431372474
329,-2.6640571393652523
330,-2.7412923359793915
331,-2.787967272078255
332,-2.775756494531919
333,-2.702406766475621
334,-2.5890485111924044
335,-2.4604510220163323
336,-2.336394328672638
337,-2.2309173680580763
338,-2.1546217961976226
339,-2.1168495670371574
340,-2.125105259509075
341,-2.17916043308062
342,-2.26457672555982
343,-2.3596217891113604
344,-2.4499822483084626
345,-2.5317657453348565
346,-2.6054825277864873
347,-2.6715992368482757
348,-2.728666597237811
349,-2.772971554717428
350,-2.800070052475488
351,-2.8075653967605407
352,-2.797105656262131
353,-2.7739506290765754
354,-2.744227396797944
355,-2.7116760061151823
356,-2.6761427757880174
357,-2.6347975247532953
358,-2.5857729105572567
359,-2.5329060494691604
360,-2.4900261782663655
361,-2.5266061152060137
362,-2.7101445666728865
363,-2.779110507342803
364,-1.8014145479822057
365,-2.042430392480293
366,-2.160937184587319
367,-2.25620067168757
368,-2.3552383313548106
369,-2.458477529977533
370,-2.560002150141902
371,-2.650701021307834
372,-2.7194891807736683
373,-2.7573225372508663
374,-2.7615972257161925
375,-2.7364048614904357
376,-2.6897103559049826
377,-2.6308055937469748
378,-2.5685525881016433
379,-2.510490310695401
380,-2.46287773432012
381,-2.431004532992727
382,-2.419173049813528
383,-2.430155094434868
384,-2.464191265667286
385,-2.518187680237024
386,-2.5855582377031716
387,-2.6564655648505493
388,-2.71845730599246
389,-2.758310875663539
390,-2.766433669510425
391,-2.7419335146017962
392,-2.6821276647894967
393,-2.583582090352923
394,-2.4668773635710153
395,-2.36480546798898
396,-2.30351385802991
397,-2.2944601068925587
398,-2.336671083651542
399,-2.4198266828382615
400,-2.520964393629897
401,-2.5924892368092904
402,-2.5939771202268855
403,-2.5267855082159825
404,-2.440300216873399
405,-2.388088444770997
406,-2.348067227062404
407,-2.310589784509828
408,-2.286320065156083
409,-2.367318247601889
410,-2.4868348160446656
411,-2.610584309253272
412,-2.713756597177893
413,-2.728279252026947
414,-2.6909187272043544
415,-2.684851684094511
416,-2.66929651626054
417,-2.645074502533968
418,-2.6424824511734095
419,-2.613861559540437
420,-2.7784392930029895
421,-3.0317504834233304
422,-3.2475265944265974
423,-3.3594554384697353
424,-3.2856769642950527
425,-3.002068192825778
426,-2.671434887866892
